Sentence,Class
Cannot map to personal H drive,Map
I and H drives are not currently listed under computer.,Map
J and K drives are not currently listed under computer.,Map
I am looking to set up a shared H Drive on my computer - just wondering if you could assist me?,Map
I am working remote and am logged on to VPN however I cant log into the network drives,Map
have lost my mapped network drives,Map
I would like to request the mapping of the HOME drive to my desktop,Map
drive mapping missing,Map
My auto mapped network drives are not auto mapped any more since getting a new laptop.,Map
My network drives (G and H drives) aren't mapping,Map
Need help mapping network drives. Have no access to them.,Map
Please help me to map the shared drive so that i can have access to my department shared files & folder repository,Map
I am unable to open document,Map
Drive is missing,Map
had issues with <\\AP.XOM.COM\Dfs\,Map
Please help map the shared drive so that i can have access to my department shared files & folder repository,Map
"I'm working from home today and I want to map my network drives, but I don't succeed, Can you help me",Map
How to map a network drive,Map
"Hi Lucy, Presently Network discovery and file sharing is turned off and I cannot get access to the �I� drive that I need to do my work as part of a project.",Map
"I'm traveling today, but J drive not mapping",Map
"I was asked to reconnect my network drive since there was an outage recently fixed, how to do it?",Map
"Hello, how do I map drives with the new Microsoft update?",Map
"I submitted a request yesterday for additional access to an I drive folder, how to find it?",Map
"Hi, I am trying to remap my I-drive and can't seem to figure out where to find that on my new laptop",Map
"in windows 10, how do I reconnect with network drives that did not automatically reconnect at login?",Map
trying to map drive no success,Map
"I lost my drive, can you help me get it back",Map
How can I perform password reset for MVS ID,Reset
"hello lucy, can you generate a new password for my  mobile application",Reset
Reset required on HOEIS403 system,Reset
How to reset secondary LAN ID password,Reset
I need to reset my secondary LAN ID,Reset
how to reset secondary account password.,Reset
I want to reset a non-personal ID,Reset
How can I reset my LAN ID,Reset
Reset my LAN id,Reset
password required for LAN ID,Reset
do not remember my LAN password,Reset
how can I use courion to reset my LAN ID password,Reset
how to reset a personal LAN ID,Reset
How to reset MVS password,Reset
Can you generate a new password for ER02 application,Reset
"Hello Lucy, from where can I get a new password for SWCC app",Reset
I need to reset my Mainframe password,Reset
Reset my MVS password,Reset
How to reset AS400 password,Reset
I need to reset my AS/400 password,Reset
Reset my AS-400 ID,Reset
I can't log into my LAN ID,Reset
How can I perform password reset for AS400 ID,Reset
Reset my AS-400 ID,Reset
"I have a problem with the LAN drives, somehow it not working.",Work
"Hi, I am working out of the office today. But for some reason I cannot enter in our folders....could you please help me?",Work
What is the Weather,Work
Will it rain today,Map
Is it cloudy out there,Map
